"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
参数化登录用例
","169","登录数据测试","cases","2025-10-12","passed","2025-10-12","","test_login","",""
"
查询活动
","0","test_geteven01","cases","2025-10-12","broken","2025-10-12","","test_getteventlist","",""
"
参数化登录用例
","174","登录数据测试","cases","2025-10-12","passed","2025-10-12","","test_login","",""
"
预定活动
","1","test_order01","cases","2025-10-12","broken","2025-10-12","","test_order","",""
